Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Min distance,Velocity at min distance,Critical
217,53.997024,2.824108,223.313950,1.797004,2.942742,-2.824108,0
218,60.198240,2.122169,223.989468,1.789200,2.480090,-2.122169,0
219,60.428356,2.120980,226.742822,1.621638,2.195869,-2.120980,0
220,13.367893,2.878033,278.177099,2.003932,3.479752,-2.878033,0
221,96.489532,1.038705,220.185199,1.628752,1.036276,-1.038705,0
222,54.657191,2.131656,223.313950,1.797004,2.980004,-2.131656,0
223,93.956722,2.119512,171.723965,1.635509,2.568516,-2.119512,0
224,32.237850,2.878033,172.358429,2.003932,7.013020,-2.878033,0
225,54.288006,2.815876,171.740113,1.047048,4.555468,-2.815876,0
226,54.650992,2.201463,205.217146,2.125863,4.334336,-2.201463,0
227,31.406394,2.821295,170.619687,1.624252,6.948429,-2.821295,0
228,60.198240,2.820898,172.599579,1.785168,5.057025,-2.820898,0
229,51.233014,2.128666,224.762900,2.250365,3.263310,-2.128666,0
230,46.086258,2.129313,225.059330,2.200142,3.549862,-2.129313,0
231,54.650992,1.740764,223.313950,2.125863,3.136589,-1.740764,0
232,54.657191,1.731533,223.313950,1.797004,3.072644,-1.731533,0
233,60.370070,1.730175,222.009256,1.789200,2.713333,-1.730175,0
234,61.259812,2.266878,175.141304,1.408842,4.788979,-2.266878,0
235,36.770856,2.144107,223.397283,1.271241,4.450035,-2.144107,0
236,51.128783,2.128666,224.748248,2.250365,3.268714,-2.128666,0
237,46.086258,2.129313,225.059330,2.217918,3.552952,-2.129313,0
238,54.650992,1.740764,223.343755,2.125863,3.151386,-1.740764,0
239,52.282150,2.261409,60.546070,1.879475,6.808898,-2.261409,0
240,46.315258,1.938880,229.057574,1.799722,3.287188,-1.938880,0
241,45.982027,2.129313,225.074483,2.217918,3.577381,-2.129313,0
242,46.352049,1.981399,224.304274,1.311544,3.555076,-1.981399,0
243,54.650992,1.740764,223.343755,2.364497,3.196433,-1.740764,0
244,52.495067,2.235254,60.546070,1.897251,6.997508,-2.235254,0
245,46.086258,2.001550,224.304274,1.281487,3.593786,-2.001550,0
246,46.086258,2.129313,225.089136,2.217918,3.610384,-2.129313,0
247,93.956722,1.726536,172.590363,1.631477,3.571326,-1.726536,0
248,27.179996,2.129477,181.911811,2.598921,7.211808,-2.129477,0
249,46.086258,2.104948,223.857005,1.281487,3.615848,-2.104948,0
250,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980,1
251,93.956722,2.819431,172.564926,1.415354,0.403684,-2.819431,0
252,32.237850,2.890777,172.358429,2.003932,7.034074,-2.890777,0
253,45.959518,2.878034,225.089136,2.220425,3.605878,-2.878034,0
254,45.811683,2.878033,273.070702,1.982133,0.499287,-2.878033,0
255,15.793779,2.879126,278.177099,1.412524,4.337100,-2.879126,0
