Index,PedestrianSpeed,FinalHostSpeed,PedestrianEgoDistanceStartWalk,Min distance,Velocity at min distance
472,2.519896,75.371016,11.064191,0.320059,-3.728316
473,1.167786,71.288546,55.425620,0.324218,-5.960930
474,1.717198,9.696734,30.059290,0.334217,-5.960930
475,2.627383,76.298620,11.319292,0.352125,-5.954922
476,1.904580,1.241074,30.824091,0.345260,-1.800162
477,1.989885,2.503488,16.086469,0.340232,-1.655065
478,1.901985,6.452799,16.086469,0.484716,-5.960930
479,2.326743,6.256439,17.288540,0.348393,-1.785941
480,1.881128,5.994803,16.810607,0.207431,-6.694620
481,1.104487,1.604916,45.176538,0.196003,-5.960930
482,1.901674,1.719475,27.786506,0.478043,-6.613500
483,1.746721,6.256439,30.059290,0.396110,-6.563610
484,1.901674,2.503488,16.086469,0.199183,-5.960930
485,0.666914,2.130363,27.786506,0.201253,-5.960930
486,1.904181,6.160747,29.770974,0.205743,-5.960930
487,1.901674,1.241074,16.987980,0.207917,-5.960930
488,2.625861,30.554485,30.810596,0.215130,-5.960930
